,building,RISK_ID,COUNTRY,LAT,LON,CLC_2012,AREA_m2,Risk
7599,78444.0,UKC11_12989,UK,54.68268286949303,-1.2250222561627262,2,5849.2236558919185,20361.295092114462
7600,78445.0,UKC11_12990,UK,54.68357029884837,-1.2252328492229927,2,1784.5439473671372,6211.211274429515
7601,78446.0,UKC11_12991,UK,54.68321777212449,-1.2248759169985497,2,2734.7402625172035,9518.576661896428
7602,78447.0,UKC11_12992,UK,54.6795840230285,-1.2260377763875712,2,355.5478331970627,1236.7203903980276
7603,78448.0,UKC11_12993,UK,54.680854118658154,-1.225304270919649,2,12297.088272556115,42806.6936785003
7604,78449.0,UKC11_12994,UK,54.68080874191415,-1.2240309278837784,2,21296.937872632257,74136.24660098969
7605,78450.0,UKC11_12995,UK,54.68083734534953,-1.2227798154177152,2,21252.098413162188,73980.81686746208
7606,78451.0,UKC11_12996,UK,54.681561839452286,-1.2188401866951857,1,8926.198337402453,31072.496055501426
7607,78452.0,UKC11_12997,UK,54.68136569274357,-1.2126861471916497,1,28296.662906764373,98504.34088144523
7608,78453.0,UKC11_12998,UK,54.67958079335021,-1.2082959710289205,3,20851.530258730945,72586.43281571937
7609,78454.0,UKC11_12999,UK,54.68244891707118,-1.2027210955331449,3,17879.851126793386,62241.388436123336
7610,78455.0,UKC11_13000,UK,54.684310270187524,-1.222771367075387,2,15746.633817852331,54815.135110175295
7611,78456.0,UKC11_13001,UK,54.68520468383785,-1.2240087956604302,2,7110.995669574752,24752.932322603167
7612,78457.0,UKC11_13002,UK,54.68815082629338,-1.2234877595533655,1,18705.09876778171,65041.879692147224
7613,78458.0,UKC11_13003,UK,54.68932465697061,-1.2241356338947569,2,19694.47341519252,68482.14712427907
7614,78459.0,UKC11_13004,UK,54.68885656760335,-1.2212835940360451,1,1182.8251928633345,4112.048879065837
7615,78460.0,UKC11_13005,UK,54.68867171020722,-1.221198233520294,1,2226.358854907636,7740.4151163392135
7616,78461.0,UKC11_13006,UK,54.684118883969404,-1.21833065949214,1,22421.941384132133,78053.3747892187
7617,78462.0,UKC11_13007,UK,54.68416809550192,-1.2133351595967905,3,66109.84483103707,230137.63275429545
7618,78463.0,UKC11_13008,UK,54.68855784480792,-1.213248009617478,2,19515.747208110017,67936.24420157418
7619,78464.0,UKC11_13009,UK,54.69517188774018,-1.2246160676636122,2,5560.229394977415,19333.87004275972
7620,78465.0,UKC11_13010,UK,54.692373811663636,-1.2199952974897184,2,8702.637047564434,30260.022065225814
7621,78466.0,UKC11_13011,UK,54.693953101111155,-1.2241072715638277,2,3653.980302694236,12704.880009181272
7622,78467.0,UKC11_13012,UK,54.69404869418394,-1.2234488284846048,2,4433.915172770265,15416.637783304743
7623,78468.0,UKC11_13013,UK,54.691120927806644,-1.2105500818161994,5,10856.290402214654,37749.63877470967
7624,78469.0,UKC11_13014,UK,54.691533505817134,-1.2166461814186578,1,16307.933718462917,56705.81835952653
7625,78470.0,UKC11_13015,UK,54.69108389232687,-1.2137859789470324,2,6050.247689046514,21037.209222652305
7626,78471.0,UKC11_13016,UK,54.69209183508721,-1.1983502772167922,5,9462.230119963038,43337.45524776502
7627,78472.0,UKC11_13017,UK,54.69611095468953,-1.2249337539651806,2,3759.37684020517,13071.374109675247
7628,78473.0,UKC11_13018,UK,54.6953573682757,-1.2149427687702996,2,11455.049279135892,39831.41483637509
