,building,RISK_ID,COUNTRY,LAT,LON,CLC_2012,AREA_m2,13/01/1984,14/01/1984,18/01/1995,24/01/2009,01/02/1983,25/03/1986,26/02/1990,28/02/1990,04/01/1998,11/02/1990,07/02/1996,27/12/1999,25/01/1990,11/02/2009,03/01/2012,28/01/1994,26/12/1999,16/12/2011,01/02/2008,25/11/1992,26/12/1998,16/10/1987,05/12/2013,08/02/1988,13/01/1993,07/01/2005,24/12/1997,27/01/2002,27/02/2010,23/11/1984,03/02/1990,08/02/1990,28/12/2011,30/10/2000,28/10/2013,22/10/1986,18/01/1983,20/01/1986,08/01/1991,18/01/2007,08/12/1993,05/11/1996,11/01/2005,03/12/1999,27/10/2002,27/10/1996,02/03/2008,28/10/1998,02/11/1981,26/12/2011,29/11/1988,28/03/1997,23/01/1993
34,43172,UKC11_111,UK,54.54296415,-1.443753044,12,1155.685112,51.24196968,153.725909,0,0,514.7255854,0,153.725909,0,0,0,0,0,0,0,0,0,0,0,0,0,51.24196968,0,0,51.24196968,0,3228.24409,2.562098484,153.725909,0,0,0,0,0,0,0,0,0,0,0,0,0,2.562098484,0,2.562098484,0,0,0,0,0,0,0,0,1.024839394
35,43173,UKC11_112,UK,54.54312166,-1.442692379,12,700.5103173,31.05995575,93.17986725,0,0,311.9972555,0,93.17986725,0,0,0,0,0,0,0,0,0,0,0,0,0,31.05995575,0,0,31.05995575,0,1956.777212,1.552997787,93.17986725,0,0,0,0,0,0,0,0,0,0,0,0,0,1.552997787,0,1.552997787,0,0,0,0,0,0,0,0,0.621199115
36,43174,UKC11_113,UK,54.543099,-1.431382954,12,1923.778703,85.29850299,255.895509,0,0,856.8234625,0,255.895509,0,0,0,0,0,0,0,0,0,0,0,0,0,85.29850299,0,0,85.29850299,0,5373.805688,4.26492515,255.895509,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26492515,0,4.26492515,0,0,0,0,0,0,0,0,1.70597006
37,43175,UKC11_114,UK,54.54448874,-1.42250942,12,687.9310971,30.50220519,91.50661556,0,0,306.3946511,0,91.50661556,0,0,0,0,0,0,0,0,0,0,0,0,0,30.50220519,0,0,30.50220519,0,1921.638927,1.525110259,91.50661556,0,0,0,0,0,0,0,0,0,0,0,0,0,1.525110259,0,1.525110259,0,0,0,0,0,0,0,0,0.610044104
38,43176,UKC11_115,UK,54.54487076,-1.422719948,12,2059.80333,91.32970451,273.9891135,0,0,917.4068818,0,273.9891135,0,0,0,0,0,0,0,0,0,0,0,0,0,91.32970451,0,0,91.32970451,0,5753.771384,4.566485225,273.9891135,0,0,0,0,0,0,0,0,0,0,0,0,0,4.566485225,0,4.566485225,0,0,0,0,0,0,0,0,1.82659409
39,43177,UKC11_116,UK,54.53759134,-1.417999623,18,2121.702554,97.68696398,293.0608919,0,0,981.2655532,0,293.0608919,0,0,0,0,0,0,0,0,0,0,0,0,0,97.68696398,0,0,97.68696398,0,6154.278731,4.884348199,293.0608919,0,0,0,0,0,0,0,0,0,0,0,0,0,4.884348199,0,4.884348199,0,0,0,0,0,0,0,0,1.95373928
40,43178,UKC11_117,UK,54.53970014,-1.417122419,12,1341.972677,59.50178166,178.505345,0,0,597.6953968,0,178.505345,0,0,0,0,0,0,0,0,0,0,0,0,0,59.50178166,0,0,59.50178166,0,3748.612245,2.975089083,178.505345,0,0,0,0,0,0,0,0,0,0,0,0,0,2.975089083,0,2.975089083,0,0,0,0,0,0,0,0,1.190035633
41,43179,UKC11_118,UK,54.53037349,-1.394904678,12,1430.659128,3.171702694,63.43405388,0,0,445.9413988,0,63.43405388,0,0,0,0,0,0,0,0,0,0,0,0,0,63.43405388,0,0,63.43405388,0,3996.345394,0.951510808,63.43405388,0,0,0,0,0,0,0,0,0,0,0,0,0,3.171702694,0,3.171702694,0,0,0,0,0,0,0,0,1.268681078
42,43180,UKC11_119,UK,54.54006656,-1.418771771,12,2764.287922,122.5658758,367.6976273,0,0,1231.174222,0,367.6976273,0,0,0,0,0,0,0,0,0,0,0,0,0,122.5658758,0,0,122.5658758,0,7721.650174,6.128293789,367.6976273,0,0,0,0,0,0,0,0,0,0,0,0,0,6.128293789,0,6.128293789,0,0,0,0,0,0,0,0,2.451317516
43,43181,UKC11_120,UK,54.54122515,-1.416208651,12,1057.626501,46.89414491,140.6824347,0,0,471.0516856,0,140.6824347,0,0,0,0,0,0,0,0,0,0,0,0,0,46.89414491,0,0,46.89414491,0,2954.331129,2.344707246,140.6824347,0,0,0,0,0,0,0,0,0,0,0,0,0,2.344707246,0,2.344707246,0,0,0,0,0,0,0,0,0.937882898
44,43182,UKC11_121,UK,54.54070198,-1.414988756,12,1866.507394,82.75914803,248.2774441,0,0,831.3156419,0,248.2774441,0,0,0,0,0,0,0,0,0,0,0,0,0,82.75914803,0,0,82.75914803,0,5213.826326,4.137957401,248.2774441,0,0,0,0,0,0,0,0,0,0,0,0,0,4.137957401,0,4.137957401,0,0,0,0,0,0,0,0,1.655182961
45,43183,UKC11_122,UK,54.54110906,-1.415191693,12,2533.494241,112.3327053,336.9981158,0,0,1128.382024,0,336.9981158,0,0,0,0,0,0,0,0,0,0,0,0,0,112.3327053,0,0,112.3327053,0,7076.960431,5.616635263,336.9981158,0,0,0,0,0,0,0,0,0,0,0,0,0,5.616635263,0,5.616635263,0,0,0,0,0,0,0,0,2.246654105
