,ID_,building,COUNTRY,CLC_2012,AREA_m2,07/02/2020,10/02/2020,15/02/2020,04/10/2020,31/10/2020,23/03/2021,LAT,LON
4986,4986_UKC11,house,UK,2,46.54159423,0,0,0,0,0,0,54.54380252,-1.300548461
4987,4987_UKC11,house,UK,2,46.23681845,0,0,0,0,0,0,54.54387205,-1.3005574
4988,4988_UKC11,house,UK,2,45.86292105,0,0,0,0,0,0,54.54394107,-1.300566211
4989,4989_UKC11,house,UK,2,45.36287468,0,0,0,0,0,0,54.54408185,-1.30058515
4990,4990_UKC11,house,UK,2,46.49260939,0,0,0,0,0,0,54.5441507,-1.3005947
4991,4991_UKC11,house,UK,2,46.21117735,0,0,0,0,0,0,54.54422018,-1.300604237
4992,4992_UKC11,house,UK,2,45.89001667,0,0,0,0,0,0,54.54428917,-1.300613561
4993,4993_UKC11,house,UK,2,45.37930089,0,0,0,0,0,0,54.54440774,-1.300768847
4994,4994_UKC11,house,UK,2,46.54667951,0,0,0,0,0,0,54.54440224,-1.300887574
4995,4995_UKC11,house,UK,2,46.212528,0,0,0,0,0,0,54.5443968,-1.3010074
4996,4996_UKC11,house,UK,2,45.87844832,0,0,0,0,0,0,54.54439144,-1.301126374
4997,4997_UKC11,house,UK,2,45.35783872,0,0,0,0,0,0,54.54463144,-1.300814874
4998,4998_UKC11,house,UK,2,46.54642667,0,0,0,0,0,0,54.54462594,-1.300933574
4999,4999_UKC11,house,UK,2,46.22956645,0,0,0,0,0,0,54.54462049,-1.301053424
5000,5000_UKC11,house,UK,2,45.85705543,0,0,0,0,0,0,54.54461515,-1.3011724
5001,5001_UKC11,house,UK,2,45.37907589,0,0,0,0,0,0,54.54461194,-1.301342247
5002,5002_UKC11,house,UK,2,46.54644872,0,0,0,0,0,0,54.54460644,-1.301460974
5003,5003_UKC11,house,UK,2,46.21229886,0,0,0,0,0,0,54.544601,-1.3015808
5004,5004_UKC11,house,UK,2,45.85707713,0,0,0,0,0,0,54.54459564,-1.301699747
5005,5005_UKC11,house,UK,2,45.37933156,0,0,0,0,0,0,54.54437994,-1.301306847
5006,5006_UKC11,house,UK,2,46.54671094,0,0,0,0,0,0,54.54437444,-1.301425574
5007,5007_UKC11,house,UK,2,46.2125592,0,0,0,0,0,0,54.544369,-1.3015454
5008,5008_UKC11,house,UK,2,45.87847931,0,0,0,0,0,0,54.54436364,-1.301664374
5009,5009_UKC11,house,UK,2,45.38050891,0,0,0,0,0,0,54.54403075,-1.3017841
5010,5010_UKC11,house,UK,2,46.54125839,0,0,0,0,0,0,54.54409962,-1.301793061
5011,5011_UKC11,house,UK,2,46.23360318,0,0,0,0,0,0,54.54416915,-1.30180195
5012,5012_UKC11,house,UK,2,45.88982138,0,0,0,0,0,0,54.5442382,-1.301810672
5013,5013_UKC11,house,UK,2,45.41086034,0,0,0,0,0,0,54.54368387,-1.301741611
5014,5014_UKC11,house,UK,2,46.53516675,0,0,0,0,0,0,54.54375277,-1.301750561
5015,5015_UKC11,house,UK,2,46.22765307,0,0,0,0,0,0,54.5438223,-1.30175945
5016,5016_UKC11,house,UK,2,45.89020792,0,0,0,0,0,0,54.54389135,-1.30176815
5017,5017_UKC11,house,UK,2,45.32151796,0,0,0,0,0,0,54.54366133,-1.302137987
5018,5018_UKC11,house,UK,2,46.5351923,0,0,0,0,0,0,54.54373017,-1.302146961
5019,5019_UKC11,house,UK,2,46.22767844,0,0,0,0,0,0,54.5437997,-1.30215585
5020,5020_UKC11,house,UK,2,45.89023311,0,0,0,0,0,0,54.54386875,-1.30216455
5021,5021_UKC11,house,UK,2,45.41050257,0,0,0,0,0,0,54.54400827,-1.302189311
5022,5022_UKC11,house,UK,2,46.53480016,0,0,0,0,0,0,54.54407717,-1.302198261
5023,5023_UKC11,house,UK,2,46.22728885,0,0,0,0,0,0,54.5441467,-1.30220715
5024,5024_UKC11,house,UK,2,45.85357407,0,0,0,0,0,0,54.54421572,-1.302215861
5025,5025_UKC11,house,UK,2,45.34487546,0,0,0,0,0,0,54.54335232,-1.301693811
5026,5026_UKC11,house,UK,2,46.5719586,0,0,0,0,0,0,54.5434212,-1.30170275
5027,5027_UKC11,house,UK,2,46.23436494,0,0,0,0,0,0,54.54349075,-1.30171165
5028,5028_UKC11,house,UK,2,45.88668724,0,0,0,0,0,0,54.54355978,-1.301720387
5029,5029_UKC11,house,UK,2,45.38819982,0,0,0,0,0,0,54.54332768,-1.302086687
